source,target
448045,4505656
2579314,3077368
2579314,6514525
3077368,6514525
2579314,8736819
3077368,8736819
6514525,8736819
2352621,3077368
931033,2838077
4045466,4045642
4045466,4811891
4045642,4811891
207405,1860938
408329,1951136
906674,1864363
846562,2908516
846562,3242728
1543962,1559508
104398,454508
14793,74923
182652,189297
182652,941114
189297,941114
182652,1352419
189297,1352419
941114,1352419
182652,2221233
189297,2221233
941114,2221233
1352419,2221233
182652,2630121
189297,2630121
941114,2630121
1352419,2630121
2221233,2630121
182652,2801268
189297,2801268
941114,2801268
1352419,2801268
2221233,2801268
2630121,2801268
182652,2855393
189297,2855393
941114,2855393
1352419,2855393
2221233,2855393
2630121,2855393
2801268,2855393
182652,4505656
189297,4505656
941114,4505656
1352419,4505656
2221233,4505656
2630121,4505656
2801268,4505656
2855393,4505656
1474568,3348788
1543962,1563016
1543962,1563018
1563016,1563018
4344257,6553948
789494,1860938
2161143,3451238
764745,2784293
501306,616297
501306,3721162
616297,3721162
1464946,9826184
512431,926544
512431,948190
926544,948190
1006445,7763939
926544,2144619
926544,2524463
2144619,2524463
512431,948190
1046466,3337723
104398,526114
104398,3451238
526114,3451238
1235128,1464946
458058,4344257
419430,656494
914985,1567795
914985,1942295
1567795,1942295
125103,1979002
1543962,1563018
1543962,1863329
1563018,1863329
1543962,2234102
1563018,2234102
1863329,2234102
1543962,2880469
1563018,2880469
1863329,2880469
2234102,2880469
1543962,6828838
1563018,6828838
1863329,6828838
2234102,6828838
2880469,6828838
458058,1711672
458058,1864363
1711672,1864363
458058,2717549
1711672,2717549
1864363,2717549
616297,1420053
616297,3721162
1420053,3721162
980605,1702670
980605,2880469
1702670,2880469
1785452,3376695
2272514,2731036
458058,488520
458058,622166
488520,622166
458058,637935
488520,637935
622166,637935
458058,1006445
488520,1006445
622166,1006445
637935,1006445
458058,1451118
488520,1451118
622166,1451118
637935,1451118
1006445,1451118
458058,1864363
488520,1864363
622166,1864363
637935,1864363
1006445,1864363
1451118,1864363
458058,2801268
488520,2801268
622166,2801268
637935,2801268
1006445,2801268
1451118,2801268
1864363,2801268
189297,526114
189297,914985
526114,914985
1238771,2579314
269027,458058
269027,1785452
458058,1785452
269027,3242728
458058,3242728
1785452,3242728
1124520,1464946
458058,1267753
458058,1352419
1267753,1352419
458058,1380647
1267753,1380647
1352419,1380647
458058,2784293
1267753,2784293
1352419,2784293
1380647,2784293
656494,1141410
656494,1141410
656494,845547
458058,914985
256408,5225555
525415,622166
525415,656645
622166,656645
525415,2880469
622166,2880469
656645,2880469
525415,3097862
622166,3097862
656645,3097862
2880469,3097862
62804,7561515
62804,93580
62804,1420053
93580,1420053
2717549,5988969
2476733,2855393
2476733,3244931
2855393,3244931
914985,1864363
914985,2764963
1864363,2764963
914985,2766864
1864363,2766864
2764963,2766864
330275,458058
330275,1124520
458058,1124520
330275,1953386
458058,1953386
1124520,1953386
227707,330275
227707,458058
330275,458058
227707,541983
330275,541983
458058,541983
227707,677602
330275,677602
458058,677602
541983,677602
227707,906674
330275,906674
458058,906674
541983,906674
677602,906674
227707,1864363
330275,1864363
458058,1864363
541983,1864363
677602,1864363
906674,1864363
227707,2609517
330275,2609517
458058,2609517
541983,2609517
677602,2609517
906674,2609517
1864363,2609517
227707,3097862
330275,3097862
458058,3097862
541983,3097862
677602,3097862
906674,3097862
1864363,3097862
2609517,3097862
227707,8708394
330275,8708394
458058,8708394
541983,8708394
677602,8708394
906674,8708394
1864363,8708394
2609517,8708394
3097862,8708394
399603,1691187
364315,764745
364315,1362753
764745,1362753
364315,1864363
764745,1864363
1362753,1864363
364315,2546209
764745,2546209
1362753,2546209
1864363,2546209
364315,4287921
764745,4287921
1362753,4287921
1864363,4287921
2546209,4287921
423066,656494
423066,1860938
656494,1860938
423066,4549925
656494,4549925
1860938,4549925
525415,1543962
1238771,1860938
656494,1860938
419430,10664494
458058,639310
458058,1124520
639310,1124520
458058,1567795
639310,1567795
1124520,1567795
458058,1864363
639310,1864363
1124520,1864363
1567795,1864363
330275,458058
330275,914985
458058,914985
330275,1124520
458058,1124520
914985,1124520
330275,1666651
458058,1666651
914985,1666651
1124520,1666651
330275,1712563
458058,1712563
914985,1712563
1124520,1712563
1666651,1712563
330275,1864363
458058,1864363
914985,1864363
1124520,1864363
1666651,1864363
1712563,1864363
330275,1884096
458058,1884096
914985,1884096
1124520,1884096
1666651,1884096
1712563,1884096
1864363,1884096
330275,2468290
458058,2468290
914985,2468290
1124520,2468290
1666651,2468290
1712563,2468290
1864363,2468290
1884096,2468290
330275,5352140
458058,5352140
914985,5352140
1124520,5352140
1666651,5352140
1712563,5352140
1864363,5352140
1884096,5352140
2468290,5352140
330275,9004802
458058,9004802
914985,9004802
1124520,9004802
1666651,9004802
1712563,9004802
1864363,9004802
1884096,9004802
2468290,9004802
5352140,9004802
2234102,3817881
390669,496733
390669,656494
496733,656494
448045,569670
448045,622166
569670,622166
448045,1420053
569670,1420053
622166,1420053
182040,2394971
296829,569670
296829,613740
569670,613740
296829,616297
569670,616297
613740,616297
296829,3721162
569670,3721162
613740,3721162
616297,3721162
423066,656494
423066,1860938
656494,1860938
458058,2764963
458058,914985
319491,3378594
61316,207405
1863329,2468290
269027,330275
269027,1785452
330275,1785452
269027,2627116
330275,2627116
1785452,2627116
269027,2628216
330275,2628216
1785452,2628216
2627116,2628216
423066,520178
423066,656494
520178,656494
423066,3813427
520178,3813427
656494,3813427
423066,4371423
520178,4371423
656494,4371423
3813427,4371423
393753,656494
569670,4782634
423066,525684
423066,530346
525684,530346
423066,553608
525684,553608
530346,553608
423066,1212892
525684,1212892
530346,1212892
553608,1212892
1107223,3244931
423066,656494
423066,2861008
656494,2861008
458058,481025
458058,2524463
481025,2524463
458058,9198834
481025,9198834
2524463,9198834
330275,390669
330275,423066
390669,423066
330275,423161
390669,423161
423066,423161
330275,448045
390669,448045
423066,448045
423161,448045
330275,553608
390669,553608
423066,553608
423161,553608
448045,553608
330275,656494
390669,656494
423066,656494
423161,656494
448045,656494
553608,656494
330275,3634443
390669,3634443
423066,3634443
423161,3634443
448045,3634443
553608,3634443
656494,3634443
553608,865313
656494,1719878
656494,1763397
1719878,1763397
299514,569670
564812,5164235
764745,1864363
390669,393753
390669,419430
393753,419430
390669,423066
393753,423066
419430,423066
390669,423161
393753,423161
419430,423161
423066,423161
390669,520178
393753,520178
419430,520178
423066,520178
423161,520178
390669,520188
393753,520188
419430,520188
423066,520188
423161,520188
520178,520188
390669,520198
393753,520198
419430,520198
423066,520198
423161,520198
520178,520198
520188,520198
390669,530346
393753,530346
419430,530346
423066,530346
423161,530346
520178,530346
520188,530346
520198,530346
390669,656494
393753,656494
419430,656494
423066,656494
423161,656494
520178,656494
520188,656494
520198,656494
530346,656494
390669,865311
393753,865311
419430,865311
423066,865311
423161,865311
520178,865311
520188,865311
520198,865311
530346,865311
656494,865311
390669,865313
393753,865313
419430,865313
423066,865313
423161,865313
520178,865313
520188,865313
520198,865313
530346,865313
656494,865313
865311,865313
390669,866072
393753,866072
419430,866072
423066,866072
423161,866072
520178,866072
520188,866072
520198,866072
530346,866072
656494,866072
865311,866072
865313,866072
390669,866212
393753,866212
419430,866212
423066,866212
423161,866212
520178,866212
520188,866212
520198,866212
530346,866212
656494,866212
865311,866212
865313,866212
866072,866212
390669,875087
393753,875087
419430,875087
423066,875087
423161,875087
520178,875087
520188,875087
520198,875087
530346,875087
656494,875087
865311,875087
865313,875087
866072,875087
866212,875087
390669,889186
393753,889186
419430,889186
423066,889186
423161,889186
520178,889186
520188,889186
520198,889186
530346,889186
656494,889186
865311,889186
865313,889186
866072,889186
866212,889186
875087,889186
390669,917426
393753,917426
419430,917426
423066,917426
423161,917426
520178,917426
520188,917426
520198,917426
530346,917426
656494,917426
865311,917426
865313,917426
866072,917426
866212,917426
875087,917426
889186,917426
616297,2339472
616297,3721162
2339472,3721162
656494,1860938
256408,1238771
256408,1864363
1238771,1864363
256408,2337137
1238771,2337137
1864363,2337137
256408,4565995
1238771,4565995
1864363,4565995
2337137,4565995
93580,458058
93580,1666651
458058,1666651
458058,3234956
112500,113874
112500,125103
113874,125103
112500,157546
113874,157546
125103,157546
112500,164216
113874,164216
125103,164216
157546,164216
112500,361639
113874,361639
125103,361639
157546,361639
164216,361639
112500,361718
113874,361718
125103,361718
157546,361718
164216,361718
361639,361718
112500,389452
113874,389452
125103,389452
157546,389452
164216,389452
361639,389452
361718,389452
112500,448045
113874,448045
125103,448045
157546,448045
164216,448045
361639,448045
361718,448045
389452,448045
112500,458058
113874,458058
125103,458058
157546,458058
164216,458058
361639,458058
361718,458058
389452,458058
448045,458058
112500,481025
113874,481025
125103,481025
157546,481025
164216,481025
361639,481025
361718,481025
389452,481025
448045,481025
458058,481025
112500,525837
113874,525837
125103,525837
157546,525837
164216,525837
361639,525837
361718,525837
389452,525837
448045,525837
458058,525837
481025,525837
112500,637935
113874,637935
125103,637935
157546,637935
164216,637935
361639,637935
361718,637935
389452,637935
448045,637935
458058,637935
481025,637935
525837,637935
112500,656308
113874,656308
125103,656308
157546,656308
164216,656308
361639,656308
361718,656308
389452,656308
448045,656308
458058,656308
481025,656308
525837,656308
637935,656308
112500,656645
113874,656645
125103,656645
157546,656645
164216,656645
361639,656645
361718,656645
389452,656645
448045,656645
458058,656645
481025,656645
525837,656645
637935,656645
656308,656645
112500,697111
113874,697111
125103,697111
157546,697111
164216,697111
361639,697111
361718,697111
389452,697111
448045,697111
458058,697111
481025,697111
525837,697111
637935,697111
656308,697111
656645,697111
112500,740183
113874,740183
125103,740183
157546,740183
164216,740183
361639,740183
361718,740183
389452,740183
448045,740183
458058,740183
481025,740183
525837,740183
637935,740183
656308,740183
656645,740183
697111,740183
112500,821352
113874,821352
125103,821352
157546,821352
164216,821352
361639,821352
361718,821352
389452,821352
448045,821352
458058,821352
481025,821352
525837,821352
637935,821352
656308,821352
656645,821352
697111,821352
740183,821352
112500,941114
113874,941114
125103,941114
157546,941114
164216,941114
361639,941114
361718,941114
389452,941114
448045,941114
458058,941114
481025,941114
525837,941114
637935,941114
656308,941114
656645,941114
697111,941114
740183,941114
821352,941114
112500,1334068
113874,1334068
125103,1334068
157546,1334068
164216,1334068
361639,1334068
361718,1334068
389452,1334068
448045,1334068
458058,1334068
481025,1334068
525837,1334068
637935,1334068
656308,1334068
656645,1334068
697111,1334068
740183,1334068
821352,1334068
941114,1334068
112500,1367484
113874,1367484
125103,1367484
157546,1367484
164216,1367484
361639,1367484
361718,1367484
389452,1367484
448045,1367484
458058,1367484
481025,1367484
525837,1367484
637935,1367484
656308,1367484
656645,1367484
697111,1367484
740183,1367484
821352,1367484
941114,1367484
1334068,1367484
112500,1459433
113874,1459433
125103,1459433
157546,1459433
164216,1459433
361639,1459433
361718,1459433
389452,1459433
448045,1459433
458058,1459433
481025,1459433
525837,1459433
637935,1459433
656308,1459433
656645,1459433
697111,1459433
740183,1459433
821352,1459433
941114,1459433
1334068,1459433
1367484,1459433
112500,1631570
113874,1631570
125103,1631570
157546,1631570
164216,1631570
361639,1631570
361718,1631570
389452,1631570
448045,1631570
458058,1631570
481025,1631570
525837,1631570
637935,1631570
656308,1631570
656645,1631570
